"post_id"	"post_message"	"by"	"post_published_unix"	"post_lang"	"likes_at_posting"	"likes_count_fb"	"comments_count_fb"	"shares_count_fb"	"reactions_count"	"engagement_index"	"emoji"	"emnum"
"civilrightsdefenders-10153827522470068"	"Fotografiska (The Swedish Museum of Photography): Todays bonus photo: Pieter ten Hoopen and Ruslan Mutsolgov. Pieter who exhibited with us before belongs to the great documentary photographers. Right now showing his movie Testimonies from North Caucasus about the region of the bloodiest conflicts of our time. The film features Ruslan Mutsolgov a human rights activist who with great danger to his life involved in the effort to raise awareness about and try to stop the mass atrocities that have become an everyday reality for the regions inhabitants. A very brave man."	"civilrightsdefenders"	1391967308	"en"	20315	31	0	1	0	32	NA	0
"PlanSverige-10157445668347004"	"Ditt stöd gör gränslös skillnad! Valery är 9 år du ser henne här på gränsstationen tillsammans med sin yngre syster. De är de på väg till Lima i Peru två flickor på flykt. Familjen är splittrad av krisen i Venezuela och mamma Kelyn tvingades lämna sin 3-åriga son hemma med mormodern men hon hoppas att de snart ska återförenas i Peru. Valery ska ha ett ID men på grund av oroligheterna i vårt land tar det väldigt lång tid att få fram de papper som behövs säger mamma Kelyn. 👉Plan International är på plats vid gränsstationerna i Brasilien Ecuador Colombia och Peru för att erbjuda mat vatten sovplats och mediciner till de migranter som flyr oroligheterna i Venezuela. Som vid alla kriser är små barn och tonårsflickor bland de som drabbas hårdast. Tonårstjejer tvingas sluta skolan gifts bort utsätts för våld och riskerar att utsättas för människohandel. De glöms dessutom ofta bort i humanitära insatser eftersom de främst riktar sig till vuxna och små barn."	"PlanSverige"	1531027200	"se"	63317	459	29	29	33	550	"white right pointing backhand index"	1
"djurensratt-10155921772883633"	"HÄSTARNA DRABBAS NÄR VI TURISTAR ► DELA inlägget och sprid budskapet! Alltför ofta får Djurens Rätt bilder och rapporter om hästar som far illa runt om i världen när de tvingas dra runt på turister. Men en glädjande nyhet är att Barcelona från sommaren 2018 beslutat sig för att i princip upphöra med detta djurplågeri - ett bra steg på vägen! Men du har ett stort ansvar: var ALLTID en djurvänlig turist välj bort djurplågeri när du reser!"	"djurensratt"	1512297173	"se"	394747	1040	328	1187	3938	6493	NA	0
"HRFriks-1975575072498052"	"I dag fick Sverige en hörselskadad jämställdhetsminister: Åsa Lindhagen (MP). Hon får även ansvar för arbetet mot diskriminering och segregation. För ett år sedan intervjuades Åsa Lindhagen av Auris och berättade då om sitt liv med hörapparater och varför hörselskadan kan vara en tillgång för henne som politiker: Kanske har jag en bättre förståelse för att människor är olika och har helt olika behov. Läs hela Auris-intervjun på länken nedan!"	"HRFriks"	1548094230	"se"	3795	239	11	36	18	304	NA	0
"barncancerfonden-10154369172391388"	"Idag drar cykeläventyret Ride of Hope Europe 2016 igång. I år cyklar man 104 mil på 7 dagar från Prag till målgången vid Almers Hus i Varberg. Cyklisterna var taggade att komma iväg för den första sträckan på 18 mil till Dresden. Här kan du se en video från de sista förberedelserna dagen före start. Ride of Hope Europe har redan samlat in fantastiska 52 mkr till Barncancerfondens arbete för barn med cancer. Tack alla kämpar och lycka till på ert äventyr."	"barncancerfonden"	1467637600	"se"	73827	289	2	0	8	299	NA	0
"WikimediaSverige-10157613422182876"	"Hur bra är dina kunskaper om svensk grammatik? Känner du att det finns hål och luckor? Var lugn – nu finns det helt fri hjälp att få! Åtminstone om du kan läsa på engelska. I september månad är nämligen A Simplified Grammar of the Swedish Language från 1902 månadens utvalda text på engelskspråkiga Wikisource. Ett tillfälle du inte vill missa! Texten hittar du i sin helhet här: https://en.wikisource.org/wiki/A_Simplified_Grammar_of_the_Swedish_Language"	"WikimediaSverige"	1599122181	"se"	6431	21	6	0	2	29	NA	0
"linkopingsstadsmission.fb-1522542721156154"	"SKÄNKA GÅVOR Glasögon som fina givare skänkt till vår Second Hand har just lämnats vidare till Specsavers och projektet Ge Syn - ett par glasögon kan vara skillnaden mellan fattigdom och att kunna se/arbeta/försörja sig själv och sin familj! ♥️"	"linkopingsstadsmission.fb"	1507633378	"se"	5433	48	2	6	3	59	"black heart suit"	1
"stadsmissionen-10153420971068071"	"Köp en annorlunda strumpa till fars dag! För 100 kronor får du ett fint gåvobevis att ge bort. Din gåva räcker till exempel till tio par nya strumpor åt någon som lever i hemlöshet i Stockholm."	"stadsmissionen"	1446119153	"se"	14610	109	0	41	0	150	NA	0
"StiftelsenFriends-2297623753605643"	"Årets minsta julklapp är bara tre bokstäver stor. Men den kan göra all skillnad för ett barn som utsätts för mobbning. #ettlitethej"	"StiftelsenFriends"	1544102151	"se"	76399	442	18	220	132	812	NA	0
"lakareivarlden-1008445969201099"	"Vi söker fler fantastiska volontärer till Skåne! Är du sjuksköterska senior läkare barnmorska specialist eller allmänt passionerad? Anmäl dig på vår hemsida."	"lakareivarlden"	1458205579	"se"	3632	16	0	5	0	21	NA	0
